fault_type,start_sample,duration_samples,fault_distance_m
cable_cut,10886,4,182329.1
cable_cut,10904,4,104366.5
cable_cut,10923,4,93101.8
cable_cut,10942,3,154749.8
cable_cut,10961,5,186699.1
cable_cut,10979,4,130390.2
anchor_drag,10998,4,236345.2
overheating,11017,4,180117.7
cable_cut,11036,3,141377.1
cable_cut,11054,5,124502.3
cable_cut,11072,5,115203.8
cable_cut,11092,4,188519.4
anchor_drag,11113,4,133328.7
cable_cut,11131,4,61338.8
cable_cut,11150,3,125628.4
overheating,11167,5,190219.1
anchor_drag,11187,4,84673.4
anchor_drag,11206,4,83335.8
anchor_drag,11222,6,150994.8
cable_cut,11242,5,151047.2
anchor_drag,11261,3,170536.2
cable_cut,11279,4,211392.0
cable_cut,11298,5,187646.5
cable_cut,11317,4,166094.5
cable_cut,11336,4,187264.2
overheating,11353,3,111362.2
cable_cut,11372,5,118739.8
cable_cut,11391,4,93370.0
cable_cut,11410,3,105805.7
cable_cut,11428,1,169885.5
overheating,11430,4,67499.9
cable_cut,11448,3,132403.2
cable_cut,11466,5,131863.9
overheating,11484,6,143800.2
cable_cut,11504,5,130907.8
cable_cut,11523,3,109329.6
cable_cut,11540,6,131006.7
cable_cut,11560,3,219743.9
anchor_drag,11577,6,229390.4
cable_cut,11595,5,145349.0
cable_cut,11611,6,168551.1
cable_cut,11631,5,71967.5
anchor_drag,11649,4,110284.2
overheating,11666,5,128817.0
cable_cut,11684,4,214598.7
cable_cut,11702,4,97586.5
cable_cut,11720,4,141776.5
cable_cut,11737,1,237256.4
anchor_drag,11739,3,148702.2
cable_cut,11757,4,166450.0
cable_cut,11775,4,72919.4
anchor_drag,11793,5,207004.8
overheating,11813,8,164581.4
anchor_drag,11848,6,153562.9
cable_cut,11879,7,115125.1
cable_cut,11914,10,107782.9
cable_cut,11955,11,129234.2
overheating,11990,9,179447.1
cable_cut,12026,9,216336.8
anchor_drag,12067,7,146980.2
cable_cut,12105,8,177169.6
anchor_drag,12141,10,161327.9
overheating,12181,1,168731.7
cable_cut,12183,5,178190.9
cable_cut,12218,9,210045.1
cable_cut,12255,1,65807.0
cable_cut,12257,5,195099.7
cable_cut,12292,9,96296.6
cable_cut,12328,7,86902.4
cable_cut,12365,9,158766.8
anchor_drag,12405,6,68185.4
cable_cut,12442,7,218212.1
cable_cut,12450,1,169177.3
cable_cut,12473,6,187449.1
cable_cut,12504,7,53064.5
cable_cut,12538,7,162942.1
anchor_drag,12570,6,155789.2
cable_cut,12600,8,80202.3
overheating,12632,6,79083.4
cable_cut,12666,8,182150.6
overheating,12699,7,110565.6
cable_cut,12733,9,181474.4
cable_cut,12767,7,155332.8
cable_cut,12800,6,123900.6
anchor_drag,12830,7,225775.2
anchor_drag,12857,10,209917.3
cable_cut,12890,7,117905.5
cable_cut,12921,7,58282.4
cable_cut,12953,9,107905.9
cable_cut,12985,5,125655.3
cable_cut,12991,1,183942.2
anchor_drag,13016,7,239118.1
anchor_drag,13048,9,117623.8
cable_cut,13080,6,194884.1
cable_cut,13087,1,162703.6
anchor_drag,13109,8,181423.3
anchor_drag,13140,8,78714.2
cable_cut,13169,11,125786.5
cable_cut,13203,7,95762.6
cable_cut,13234,5,115256.6
anchor_drag,13261,7,147494.3
cable_cut,13285,6,176658.7
cable_cut,13302,5,70122.6
cable_cut,13320,5,74870.0
cable_cut,13340,4,111176.3
cable_cut,13356,6,175697.2
overheating,13376,4,210836.2
cable_cut,13393,4,155118.9
cable_cut,13410,1,212346.0
anchor_drag,13412,3,123119.2
cable_cut,13430,6,110189.7
overheating,13448,4,117310.3
cable_cut,13467,3,82505.5
cable_cut,13485,3,207531.4
overheating,13503,4,114347.5
cable_cut,13522,3,154950.3
cable_cut,13539,5,159924.8
cable_cut,13558,4,149091.3
cable_cut,13576,4,50510.7
cable_cut,13594,4,237785.6
cable_cut,13613,4,222014.9
cable_cut,13631,4,89450.8
overheating,13650,3,105573.0
cable_cut,13667,5,148801.9
cable_cut,13685,4,221363.2
cable_cut,13704,3,236889.9
anchor_drag,13722,5,98933.0
cable_cut,13741,4,157228.2
cable_cut,13760,5,203324.0
anchor_drag,13780,3,124930.3
overheating,13797,5,188903.9
cable_cut,13815,4,80603.1
cable_cut,13834,5,164132.7
cable_cut,13853,6,214514.2
cable_cut,13871,6,236869.1
cable_cut,13890,5,65079.5
cable_cut,13911,4,131386.0
cable_cut,13929,4,88863.1
cable_cut,13947,2,135620.9
insulation_failure,19553,23,154075.1
insulation_failure,19660,23,67732.1
insulation_failure,19768,24,106403.5
insulation_failure,19879,23,226241.0
insulation_failure,19988,22,158110.7
insulation_failure,20095,22,136908.3
insulation_failure,20215,19,193169.9
insulation_failure,20319,1,190953.8
insulation_failure,20321,22,59230.0
insulation_failure,20430,21,184652.5
insulation_failure,20542,23,209456.2
insulation_failure,20652,21,81528.2
insulation_failure,20758,23,198389.6
insulation_failure,20873,23,104442.0
insulation_failure,20980,23,108229.3
insulation_failure,21087,22,176399.7
insulation_failure,21197,22,71164.5
insulation_failure,21304,22,176325.8
insulation_failure,21413,23,218692.8
insulation_failure,21520,21,182299.1
insulation_failure,21651,30,133662.3
insulation_failure,21767,22,133260.7
insulation_failure,21874,23,195368.3
insulation_failure,21982,25,157472.0
insulation_failure,22094,23,66131.8
insulation_failure,22205,24,160707.5
insulation_failure,22314,34,204820.3
insulation_failure,22433,22,114042.6
insulation_failure,22541,21,226239.6
insulation_failure,22649,24,192636.2
insulation_failure,22761,21,159072.1
insulation_failure,22869,23,192812.4
insulation_failure,22978,22,65038.3
insulation_failure,23099,23,213283.9
insulation_failure,23207,22,206085.8
insulation_failure,23317,21,222875.6
insulation_failure,23427,22,74439.9
insulation_failure,23536,23,65538.2
insulation_failure,23646,21,76299.0
insulation_failure,23755,23,125882.0
insulation_failure,23875,22,130618.3
insulation_failure,23982,22,156821.5
insulation_failure,24090,21,73226.3
insulation_failure,24230,34,88265.9
insulation_failure,24361,22,204212.4
insulation_failure,24470,23,138917.6
insulation_failure,24585,23,203508.3
