fault_type,start_sample,duration_samples,fault_distance_m
insulation_failure,50,1,94297.5
insulation_failure,69,1,79095.6
anchor_drag,77,1,84755.8
cable_cut,160,2,145571.5
insulation_failure,168,1,196309.0
insulation_failure,194,1,164091.0
insulation_failure,207,1,11611.2
cable_cut,242,1,141140.6
cable_cut,248,2,138961.3
insulation_failure,259,1,152862.1
cable_cut,327,1,150305.2
insulation_failure,380,1,16829.2
insulation_failure,442,1,102963.0
insulation_failure,463,1,108096.4
cable_cut,586,1,8443.4
insulation_failure,603,1,170645.7
cable_cut,746,1,132085.0
insulation_failure,847,1,152230.5
insulation_failure,880,1,34964.8
insulation_failure,903,1,101413.2
cable_cut,926,1,8482.7
insulation_failure,1016,1,162754.7
cable_cut,1085,1,140575.1
anchor_drag,1087,1,192068.4
insulation_failure,1095,1,192387.9
insulation_failure,1123,2,154930.7
insulation_failure,1144,1,91880.5
cable_cut,1161,2,95060.7
cable_cut,1167,1,66292.9
insulation_failure,1284,1,179134.3
insulation_failure,1324,1,102583.4
cable_cut,1334,2,117852.3
insulation_failure,1391,1,158386.8
cable_cut,1419,1,135637.6
insulation_failure,1437,1,59731.0
insulation_failure,1492,1,114881.3
insulation_failure,1496,1,123098.4
anchor_drag,1509,1,83963.6
cable_cut,1583,1,142884.4
cable_cut,1595,1,54126.8
anchor_drag,1682,1,28633.4
anchor_drag,1763,1,183458.4
insulation_failure,1784,1,10186.2
insulation_failure,1789,1,135727.7
insulation_failure,1808,1,17369.1
cable_cut,1833,1,158180.4
anchor_drag,1996,1,88734.5
insulation_failure,2015,1,171918.4
cable_cut,2075,1,10269.0
insulation_failure,2125,1,181622.7
anchor_drag,2166,1,28012.5
insulation_failure,2233,1,179650.9
anchor_drag,2244,1,54374.3
insulation_failure,2299,1,109449.1
cable_cut,2331,2,45797.0
insulation_failure,2426,1,100920.8
insulation_failure,2444,1,34710.0
cable_cut,2494,1,17338.7
cable_cut,2502,1,45485.8
cable_cut,2581,1,37796.7
insulation_failure,2598,1,46829.7
anchor_drag,2671,1,125832.6
insulation_failure,2749,1,155121.7
cable_cut,2761,1,24796.4
cable_cut,2858,1,136557.5
anchor_drag,2864,1,180681.1
insulation_failure,2879,1,159170.9
anchor_drag,2941,1,54487.4
insulation_failure,3000,1,122521.8
cable_cut,3019,1,128522.7
insulation_failure,3140,1,8392.1
overheating,3236,1,39584.9
cable_cut,3266,1,63057.6
cable_cut,3350,1,89820.6
cable_cut,3356,1,169811.8
insulation_failure,3369,1,164938.7
insulation_failure,3457,1,110504.3
cable_cut,3528,2,56904.4
insulation_failure,3579,1,82210.7
anchor_drag,3611,1,66039.3
cable_cut,3684,1,88151.0
anchor_drag,3695,1,175795.4
overheating,3760,1,197881.1
overheating,3787,1,153337.4
overheating,3793,1,172088.5
overheating,3806,1,70796.7
overheating,3814,1,178759.1
overheating,3829,1,56497.3
insulation_failure,3854,1,14020.3
anchor_drag,3865,1,138061.1
insulation_failure,3867,1,152332.2
insulation_failure,3928,1,28065.7
cable_cut,3935,1,144927.1
insulation_failure,3943,1,163346.9
insulation_failure,4002,1,11768.0
cable_cut,4024,1,63614.2
cable_cut,4032,1,23515.2
anchor_drag,4034,1,26772.6
insulation_failure,4044,1,21164.6
insulation_failure,4048,1,183791.8
insulation_failure,4071,1,131229.6
overheating,4078,1,130467.8
overheating,4080,2,12459.8
overheating,4087,1,16022.2
overheating,4096,1,149853.7
cable_cut,4117,1,147211.9
overheating,4119,3,41868.4
overheating,4130,1,166323.8
overheating,4138,1,84472.2
overheating,4140,1,105169.4
overheating,4151,1,136439.8
overheating,4153,1,141357.6
overheating,4155,1,32108.1
overheating,4157,1,97883.9
overheating,4164,1,101217.5
overheating,4170,1,48909.5
overheating,4173,1,155115.2
overheating,4179,1,53079.5
overheating,4182,1,127607.2
overheating,4184,2,135946.5
anchor_drag,4207,1,90087.4
overheating,4211,1,81916.2
overheating,4225,1,63847.9
overheating,4247,1,44123.6
overheating,4249,1,178079.2
overheating,4251,1,106473.7
overheating,4253,2,167412.5
overheating,4258,1,114089.6
overheating,4270,1,129424.5
overheating,4279,1,143932.3
overheating,4282,2,12881.2
overheating,4285,1,127438.9
insulation_failure,4292,1,143828.6
insulation_failure,4296,1,82752.9
overheating,4307,1,51538.6
overheating,4323,1,132052.6
overheating,4326,1,46769.3
overheating,4328,1,16138.4
overheating,4342,1,89165.0
insulation_failure,4353,1,162997.4
overheating,4355,1,127265.1
overheating,4361,1,91102.1
overheating,4370,1,143429.3
overheating,4383,1,94530.1
anchor_drag,4385,1,58224.7
overheating,4389,1,33971.9
overheating,4391,1,171895.1
overheating,4400,1,182392.0
overheating,4405,2,67383.4
overheating,4409,1,187799.2
overheating,4417,1,127555.5
insulation_failure,4419,1,115165.1
overheating,4421,1,13130.6
overheating,4427,1,76923.6
overheating,4435,1,140666.9
overheating,4441,1,129818.9
overheating,4448,2,182805.5
overheating,4462,1,144461.4
anchor_drag,4469,1,36807.7
overheating,4475,1,126086.9
overheating,4480,1,198843.1
overheating,4495,1,94728.0
overheating,4501,1,145248.8
overheating,4510,1,78105.4
overheating,4527,1,84122.8
overheating,4533,1,121221.1
overheating,4536,1,49569.1
overheating,4544,1,83221.8
overheating,4556,1,136292.3
overheating,4558,1,73252.8
overheating,4565,1,87288.1
overheating,4570,1,22896.1
overheating,4579,1,122897.3
overheating,4596,1,191817.9
overheating,4600,2,72359.0
overheating,4611,1,179771.6
overheating,4618,1,53534.5
overheating,4620,2,103299.9
overheating,4632,1,67898.5
overheating,4642,2,14589.4
anchor_drag,4646,1,188344.5
overheating,4651,1,159728.1
overheating,4661,1,137890.5
overheating,4665,1,163683.4
overheating,4669,1,21730.2
insulation_failure,4684,1,121814.0
overheating,4702,1,101955.2
overheating,4718,1,176564.7
overheating,4720,1,67923.6
overheating,4723,1,60937.9
