fault_type,start_sample,duration_samples,fault_distance_m,severity
cable_cut,1000,4,120000.0,Critical
cable_cut,1018,4,120000.0,Critical
cable_cut,1037,4,120000.0,Critical
cable_cut,1056,3,120000.0,Critical
cable_cut,1075,5,120000.0,Critical
cable_cut,1093,4,120000.0,Critical
anchor_drag,1112,4,120000.0,Critical
overheating,1131,4,120000.0,Critical
cable_cut,1150,3,120000.0,Critical
cable_cut,1168,5,120000.0,Critical
cable_cut,1186,5,120000.0,Critical
cable_cut,1206,4,120000.0,Critical
anchor_drag,1227,4,120000.0,Critical
cable_cut,1245,4,120000.0,Critical
cable_cut,1264,3,120000.0,Critical
overheating,1281,5,120000.0,Critical
anchor_drag,1301,4,120000.0,Critical
anchor_drag,1320,4,120000.0,Critical
anchor_drag,1336,6,120000.0,Critical
cable_cut,1356,5,120000.0,Critical
anchor_drag,1375,3,120000.0,Critical
cable_cut,1393,4,120000.0,Critical
cable_cut,1412,5,120000.0,Critical
cable_cut,1431,4,120000.0,Critical
cable_cut,1450,4,120000.0,Critical
overheating,1467,3,120000.0,Critical
cable_cut,1486,5,120000.0,Critical
cable_cut,1505,4,120000.0,Critical
cable_cut,1524,3,120000.0,Critical
cable_cut,1542,1,120000.0,Critical
overheating,1544,4,120000.0,Critical
cable_cut,1562,3,120000.0,Critical
cable_cut,1580,5,120000.0,Critical
overheating,1598,6,120000.0,Critical
cable_cut,1618,5,120000.0,Critical
cable_cut,1637,3,120000.0,Critical
cable_cut,1654,6,120000.0,Critical
cable_cut,1674,3,120000.0,Critical
anchor_drag,1691,6,120000.0,Critical
cable_cut,1709,5,120000.0,Critical
cable_cut,1725,6,120000.0,Critical
cable_cut,1745,5,120000.0,Critical
anchor_drag,1763,4,120000.0,Critical
overheating,1780,5,120000.0,Critical
cable_cut,1798,4,120000.0,Critical
cable_cut,1816,4,120000.0,Critical
cable_cut,1834,4,120000.0,Critical
cable_cut,1851,1,120000.0,Critical
anchor_drag,1853,3,120000.0,Critical
cable_cut,1871,4,120000.0,Critical
cable_cut,1889,4,120000.0,Critical
anchor_drag,1907,5,120000.0,Critical
overheating,1927,8,120000.0,Critical
anchor_drag,1962,6,120000.0,Critical
cable_cut,1993,7,120000.0,Critical
cable_cut,2028,10,120000.0,Critical
cable_cut,2069,11,120000.0,Critical
overheating,2104,9,120000.0,Critical
cable_cut,2140,9,120000.0,Critical
anchor_drag,2181,7,120000.0,Critical
cable_cut,2219,8,120000.0,Critical
anchor_drag,2255,10,120000.0,Critical
overheating,2295,1,120000.0,Critical
cable_cut,2297,5,120000.0,Critical
cable_cut,2332,9,120000.0,Critical
cable_cut,2369,1,120000.0,Critical
cable_cut,2371,5,120000.0,Critical
cable_cut,2406,9,120000.0,Critical
cable_cut,2442,7,120000.0,Critical
cable_cut,2479,9,120000.0,Critical
anchor_drag,2519,6,120000.0,Critical
cable_cut,2556,7,120000.0,Critical
cable_cut,2564,1,120000.0,Critical
cable_cut,2587,6,120000.0,Critical
cable_cut,2618,7,120000.0,Critical
cable_cut,2652,7,120000.0,Critical
anchor_drag,2684,6,120000.0,Critical
cable_cut,2714,8,120000.0,Critical
overheating,2746,6,120000.0,Critical
cable_cut,2780,8,120000.0,Critical
overheating,2813,7,120000.0,Critical
cable_cut,2847,9,120000.0,Critical
cable_cut,2881,7,120000.0,Critical
cable_cut,2914,6,120000.0,Critical
anchor_drag,2944,7,120000.0,Critical
anchor_drag,2971,10,120000.0,Critical
